# Wave 5 rename manifest. Reviewed as a list, not as a diff.
# old	new	module	collision-group	declared in
LifeBoardRootTransition	RootTransition	Foundation		LifeBoard/Foundation/Navigation/LifeBoardRootTransition.swift
FoundationRouteLoadState	RouteLoadState	Foundation		LifeBoard/Foundation/Navigation/FoundationEntityRouteScaffold.swift
FoundationRoutineRouteView	RoutineRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationTrackRoutes.swift
LifeBoardScenicBackdrop	ScenicBackdrop	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
FoundationSettingsDetailRouteView	SettingsDetailRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationSettingsRoutes.swift
FoundationSettingsRouteView	SettingsRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationSettingsRoutes.swift
FoundationShellOverlays	ShellOverlays	Foundation		LifeBoard/Foundation/Navigation/FoundationShellModifiers.swift
FoundationShellSheets	ShellSheets	Foundation		LifeBoard/Foundation/Navigation/FoundationShellModifiers.swift
LifeBoardSignatureEffect	SignatureEffect	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardSpotlightRouteTranslator	SpotlightRouteTranslator	Foundation		LifeBoard/Foundation/Navigation/LifeBoardAppRouter.swift
LifeBoardStableDestinationRoot	StableDestinationRoot	Foundation		LifeBoard/Foundation/Navigation/FoundationShellDestinationRoot.swift
LifeBoardStatusSurface	StatusSurface	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardTactileTile	TactileTile	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardTactileTileButtonStyle	TactileTileButtonStyle	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
FoundationTaskCaptureHost	TaskCaptureHost	Foundation		LifeBoard/Foundation/Navigation/FoundationCaptureHosts.swift
FoundationTaskRouteView	TaskRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationTaskRouteView.swift
LifeBoardThemeContext	ThemeContext	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationThirdPartyNoticesView	ThirdPartyNoticesView	Foundation		LifeBoard/Foundation/Navigation/FoundationSettingsRoutes.swift
FoundationTimeBlockCaptureHost	TimeBlockCaptureHost	Foundation		LifeBoard/Foundation/Navigation/FoundationCaptureHosts.swift
LifeBoardTokenGallery	TokenGallery	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
FoundationTrackerRouteView	TrackerRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationHabitAndTrackerRoutes.swift
LifeBoardTransactionPreview	TransactionPreview	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationTypography	Typography	LifeBoardTokens		Packages/LifeBoardTokens/Sources/LifeBoardTokens/LifeBoardDaypartTokens.swift
FoundationUITestSeedGateViewController	UITestSeedGateViewController	SceneDelegate.swift		LifeBoard/SceneDelegate.swift
LifeOSVersionedDomainContract	VersionedDomainContract	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardVisualFixture	VisualFixture	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardVisualFixtureRoot	VisualFixtureRoot	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardVisualFixtureState	VisualFixtureState	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardVisualFixtureSurface	VisualFixtureSurface	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
FoundationWeeklyPlanningWorkspaceRoute	WeeklyPlanningWorkspaceRoute	Foundation		LifeBoard/Foundation/Navigation/FoundationPlanRoutes.swift
FoundationWeeklyReviewRoute	WeeklyReviewRoute	Foundation		LifeBoard/Foundation/Navigation/FoundationPlanRoutes.swift
# Semantic collision-resolution and provider-role wave.
LifeBoardColorTokens	SemanticColorTokens	LifeBoardTokens	ColorTokens	Packages/LifeBoardTokens/Sources/LifeBoardTokens/SemanticColorTokens.swift
LBColorTokens	ClayColorTokens	LifeBoardDesign	ColorTokens	LifeBoard/LifeBoardDesign/Tokens/ClayColorTokens.swift
LifeBoardSpacingTokens	SemanticSpacingTokens	LifeBoardTokens	SpacingTokens	Packages/LifeBoardTokens/Sources/LifeBoardTokens/SemanticSpacingTokens.swift
LBSpacingTokens	ClayLayoutMetrics	LifeBoardDesign	SpacingTokens	LifeBoard/LifeBoardDesign/Tokens/ClayLayoutMetrics.swift
LifeBoardTypographyTokens	SemanticTypographyTokens	LifeBoardTokens	TypographyTokens	Packages/LifeBoardTokens/Sources/LifeBoardTokens/SemanticTypographyTokens.swift
LBTypographyTokens	ClayTypography	LifeBoardDesign	TypographyTokens	LifeBoard/LifeBoardDesign/Tokens/ClayTypography.swift
LifeBoardFilterChip	FilterChip	SharedUI	FilterChip	LifeBoard/Shared/UI/LifeBoardFilterComponents.swift
LBFilterChip	ClayFilterChip	LifeBoardDesign	FilterChip	LifeBoard/LifeBoardDesign/Components/ClayFilterChip.swift
SunriseFilterChip	HomeFilterChipAction	Home	FilterChip	LifeBoard/LifeBoardDesign/HomeScreen.swift
LifeBoardProjectSection	ProjectSectionDefinition	LifeBoardDomain	ProjectSection	Packages/LifeBoardDomain/Sources/LifeBoardDomain/Models_Section.swift
LBRole	ClayRole	LifeBoardDesign	Role	LifeBoard/LifeBoardDesign/Tokens/ClayColorTokens.swift
LifeBoardRootHeader	AppRootHeader	DesignSystem	RootHeader	LifeBoard/DesignSystem/ScreenScaffold.swift
FoundationRootHeader	ScreenRootHeader	Foundation	RootHeader	LifeBoard/Foundation/Navigation/ScreenRootHeader.swift
LBTimelineTemporalState	ClayTimelineTemporalState	LifeBoardDesign	TimelineTemporalState	LifeBoard/LifeBoardDesign/Components/TimelineCard.swift
LifeBoardNormalizedPoint	UnitPoint2D	Foundation	NormalizedPoint	LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardKnowledgeGraphStore	JournalKnowledgeGraphStoreAdapter	Knowledge	KnowledgeGraphStore	LifeBoard/Features/Knowledge/Data/JournalKnowledgeGraphStoreAdapter.swift
LifeBoardFeedback	HapticFeedback	LifeBoardTokens	Feedback	Packages/LifeBoardTokens/Sources/LifeBoardTokens/MotionAnimations.swift
LifeBoardCard	SurfaceCard	LifeBoardTokens	Card	Packages/LifeBoardTokens/Sources/LifeBoardTokens/SwiftUI+TokenAdapters.swift
LifeBoardTextField	TokenTextField	DesignSystem	TextField	LifeBoard/DesignSystem/UIKit+TokenAdapters.swift
LifeBoardTextFieldStyle	TokenTextFieldStyle	LifeBoardTokens	TextFieldStyle	Packages/LifeBoardTokens/Sources/LifeBoardTokens/SwiftUI+TokenAdapters.swift
LifeBoardTextStyle	TypographyStyle	LifeBoardTokens	TextStyle	Packages/LifeBoardTokens/Sources/LifeBoardTokens/Tokens.swift
SunriseAnchor	HomeScrollAnchor	Home	Anchor	LifeBoard/Features/Home/UI/Shell/HomeSunriseLayoutSupport.swift
